name,002.1TU.AMURANG2,003.5TU.MDT1,004.5TU.MDT2,005.1TU.ANGGREK1,006.1TU.ANGGREK2,007.3TU.SULUT3#1,008.3TU.SULUT3#2,009.3TU.SULBAGUT1#1,010.3TU.SULBAGUT1#2,063.1TU.SULUT1#1,064.1TU.SULUT1#2,011.2TP.LAHENDONG1,012.2TP.LAHENDONG2,013.2TP.LAHENDONG3,014.2TP.LAHENDONG4,015.3TP.LAHENDONG5,016.3TP.LAHENDONG6,017.1TA.TONSEA1,018.1TA.TONSEA2,019.1TA.TONSEA3,020.1TA.TANGGARI1,021.1TA.TANGGARI2,022.1TA.TANGGARI3,023.1TA.TANGGARI4,024.3TM.MOBUYA1,025.3TM.MOBUYA2,026.3TM.MOBUYA3,027.3TM.TALUDAA1,028.3TM.TALUDAA2,029.TM.LOBONG1,030.TM.LOBONG2,031.TM.MONGANGO1,032.TM.MONGANGO2,033.TM.POIGAR1,034.TM.POIGAR2,067.TM.DOMINANGA,036.1TD.BITUNG1,037.1TD.BITUNG2,038.1TD.BITUNG5,039.1TD.BITUNG6,040.1TD.LOPANA1,041.1TD.LOPANA2,042.1TD.KOTAMOBAGU1,043.1TD.KOTAMOBAGU2,044.1TD.KOTAMOBAGU3,045.1TD.KOTAMOBAGU5,046.1TD.KOTAMOBAGU6,047.1TD.TELAGA1,048.1TD.TELAGA3,049.1TD.TELAGA4,050.1TD.TELAGA5,051.1TD.TELAGA7,055.1TD.TELAGA8,056.1TG.MALEO1,057.1TG.MALEO2,059.1TG.MALEO4,060.3TS.SUMALATA,061.3TS.LIKUPANG,062.3TS.ISIMU
11/2/2025 0:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
11/2/2025 1:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
11/2/2025 2:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
11/2/2025 3:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
11/2/2025 4:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
11/2/2025 5:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
11/2/2025 6:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.056,0.056,0.056
11/2/2025 7:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.184333,0.184333,0.184333
11/2/2025 8:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.348,0.348,0.348
11/2/2025 9:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.505667,0.505667,0.505667
11/2/2025 10:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.582333,0.582333,0.582333
11/2/2025 11:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.651667,0.651667,0.651667
11/2/2025 12:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.629333,0.629333,0.629333
11/2/2025 13:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.614,0.614,0.614
11/2/2025 14:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.642333,0.642333,0.642333
11/2/2025 15:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.607333,0.607333,0.607333
11/2/2025 16:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.474667,0.474667,0.474667
11/2/2025 17:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.289667,0.289667,0.289667
11/2/2025 18:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.113,0.113,0.113
11/2/2025 19:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.019667,0.019667,0.019667
11/2/2025 20:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
11/2/2025 21:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
11/2/2025 22:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
11/2/2025 23:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
